2015
January,6.08(2.65),24.58(5.41),1575.04
February,5.60(2.71),24.36(4.66),1231.61
March,5.64(2.51),22.15(4.66),1172.86
April,5.80(2.76),19.10(4.17),814.92
May,4.66(2.98),14.77(4.66),707.54
June,5.00(2.89),14.83(4.32),557.55
July,4.51(2.62),13.45(3.90),547.08
August,4.91(2.76),14.01(4.06),670.16
September,5.24(2.84),15.39(5.29),1058.02
October,5.00(2.53),18.97(4.77),1200.44
November,5.61(2.63),20.84(4.98),1481.28
December,6.01(2.39),21.92(5.62),1640.93
